https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=54df1ed035&e=458ed9ba0f
FRIDAY
Cosmic Baseball Takeover Tour (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=eae403ebd2&e=458ed9ba0f) , Durham Bulls Athletic Park, Durham
Eurydice (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=0d86b89129&e=458ed9ba0f) , Theatre In The Park, Raleigh

https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=5724d7ad58&e=458ed9ba0f
https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=38dda23c3d&e=458ed9ba0f
https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=4264806b4a&e=458ed9ba0f
https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=7224b09299&e=458ed9ba0f


Not a subscriber?   Sign up (https://thingstodo919.us15.list-manage.com/track/click?u=ddef6da2cf1e7abe0e37514bc&id=0b718c413e&e=458ed9ba0f)
today and receive these emails every Friday!

Want to change how you receive these emails?
You can  update your preferences (https://thingstodo919.us15.list-manage.com/profile?u=ddef6da2cf1e7abe0e37514bc&id=4c45f2b217&e=458ed9ba0f&c=07c70d73ca)
or  unsubscribe from this list (https://thingstodo919.us15.list-manage.com/unsubscribe?u=ddef6da2cf1e7abe0e37514bc&id=4c45f2b217&t=b&e=458ed9ba0f&c=07c70d73ca)
.
